,Geo_FIPS,Geo_TRACT,concentrated_disadvantage,commute_time,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,cars_per_home
67,06037109200,109200,-1.359933333337362,34.0,112250.0,2995,661,744,1318,272,1.6216450216450216
68,06037109300,109300,-0.5187952117729595,34.0,84919.0,3247,649,706,1454,438,1.445438282647585
69,06037109400,109400,-0.9673524539620105,35.0,77273.0,3959,831,996,1582,550,1.454954954954955
70,06037109500,109500,-0.47864260761157884,27.0,44118.0,4821,1447,1280,1341,753,1.0454237288135593
71,06037109601,109601,-0.4225140766628468,30.0,92545.0,4938,1071,1156,2087,624,1.4956228956228956
72,06037109603,109603,0.5703377409562567,31.0,53750.0,4476,976,975,1880,645,0.9554700384826827
73,06037109604,109604,-0.4107200835626517,27.0,88000.0,3088,701,906,1135,346,1.1961678832116789
74,06037109700,109700,-0.48754708857398515,28.0,98605.0,4568,1009,1112,1860,587,1.2610103626943006
75,06037109800,109800,-0.7629934171320235,29.0,96422.0,5398,1239,1312,2083,764,1.448467966573816
76,06037111100,111100,-0.5943470279943769,32.0,86683.0,3128,592,694,1410,432,1.3368055555555556
77,06037111201,111201,-0.9100307684585937,33.0,85034.0,3485,757,603,1504,621,1.0789473684210527
78,06037111202,111202,-0.8123497889197037,30.0,80521.0,5329,1152,1099,2260,818,1.0986629783310282
79,06037111204,111204,-1.6469447211738604,34.0,150192.0,6153,1152,1100,2468,1433,1.604197169350903
80,06037111205,111205,-0.9231927991375884,34.0,76968.0,4064,931,1070,1482,581,0.7445708376421923
81,06037111206,111206,-1.207258099817867,37.0,114861.0,4382,881,668,1934,899,1.3520621637776449
82,06037111301,111301,-0.7296145514837296,33.0,68456.0,7151,1726,1581,3014,830,0.41973094170403585
83,06037111302,111302,-0.1001836060748667,38.0,66850.0,5325,959,1485,1971,910,0.684967815221507
84,06037111400,111400,-0.9223404209570661,31.0,59875.0,8066,1161,2127,3155,1623,0.49312714776632305
85,06037113101,113101,-0.9635358838820092,34.0,105781.0,3699,613,718,1529,839,1.3874074074074074
86,06037113102,113102,-1.230577919016092,34.0,138333.0,2928,382,569,1288,689,1.5725413826679648
87,06037113211,113211,-0.9476920939732411,34.0,93009.0,3929,712,546,1686,985,0.5639257294429708
88,06037113212,113212,-0.7964515394337899,34.0,79009.0,3272,563,647,1411,651,1.2436412315930387
89,06037113213,113213,-1.3353284127309426,34.0,84274.0,5059,932,1190,2181,756,0.7350171232876712
90,06037113231,113231,-1.005345196859072,33.0,105208.0,2424,534,407,1011,472,1.005952380952381
91,06037113232,113232,-1.678709918182274,33.0,112105.0,4358,795,512,1975,1076,1.0276381909547738
92,06037113233,113233,0.7269711154107984,28.0,47500.0,7624,1626,2524,2790,684,0.4427012278308322
93,06037113234,113234,0.1250259406967051,33.0,56375.0,4818,1215,1070,1768,765,0.5287707061900611
94,06037113235,113235,-0.703413928435126,36.0,88750.0,1834,428,324,848,234,0.5896328293736501
95,06037113237,113237,-0.1863439112938454,36.0,82821.0,4145,831,714,1674,926,0.878419452887538
96,06037113301,113301,-0.9277414912464258,32.0,66500.0,2960,638,700,1013,609,0.8015776699029126
97,06037113303,113303,-0.5493833189278999,29.0,83971.0,4307,889,768,1826,824,0.9339320076972418
98,06037113321,113321,0.07889694310074066,29.0,68904.0,6420,1163,1769,3025,463,0.352041980378736
99,06037113322,113322,-1.0170052786235673,33.0,93795.0,4284,653,663,2030,938,1.0066305003013865
100,06037113401,113401,-1.0284096602555786,30.0,84923.0,6284,1154,1655,2477,998,1.0951417004048583
