,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,ev_car_zip_count,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
97,AUI-10322,"11320 Laurel Canyon Blvd, Los Angeles, CA",34.2760489,-118.4498162,91340,6037109500,-0.35597732884689004,27.0,1.0454237288135593,44118.0,114,4821,1447,1280,1341,753
98,AUI-10317,"8309 Louise Ave, Los Angeles, CA",34.221544,-118.5102314,91325,6037115401,-0.6110583426372481,31.0,0.6174794173527549,61483.0,458,6219,1597,1358,2647,617
99,AUI-10310,"7537 Balboa Blvd, Los Angeles, CA",34.207544,-118.501288,91406-5441,6037131900,-0.29484891846691164,30.0,0.965742251223491,75255.0,469,4824,953,1169,2185,517
100,AUI-10313,"18099 Rinaldi street, Los Angeles, CA",34.278644799999995,-118.5274194,91344-1701,6037108103,-1.5053941694703683,35.0,1.4207369323050556,159643.0,827,3153,523,459,1377,794
101,AUI-10312,"21900 Plummer St, Los Angeles, CA",34.242412200000004,-118.6042211,91311,6037113237,-0.13808909592146046,36.0,0.878419452887538,82821.0,556,4145,831,714,1674,926
102,AUI-10307,"10567 Mason Ave, Los Angeles, CA",34.261771,-118.5798527,91311,6037113101,-0.7174313498704399,34.0,1.3874074074074074,105781.0,556,3699,613,718,1529,839
103,AUI-10387,"5350 San Vicente Blvd, Los Angeles, CA",34.0525027,-118.3512399,90019,6037217100,-0.3331028927439653,30.0,0.2329766536964981,64298.0,512,6326,1075,1685,2904,662
104,AUI-10294,"1143 S Beverly Dr, Los Angeles, CA",34.0565394,-118.39647820000002,90035,6037269100,-0.3012923410869374,22.0,0.17014547754585704,86039.0,495,4067,892,991,1462,722
105,AUI-10292,"664 S Central Ave, Los Angeles, CA",34.0372306,-118.2405573,90021,6037206300,2.512186714999324,39.0,0.04512672573665773,10294.0,79,5702,95,622,4312,673
106,AUI-10295,"5931 W 18th St, Los Angeles, CA",34.0438008,-118.37153290000002,90035,6037216700,0.5555245369923483,28.0,0.212485896953742,69750.0,495,3882,606,1257,1410,609
107,AUI-10296,"6299 W 87th St, Los Angeles, CA",33.9585605,-118.3947537,90045,6037278001,-0.2406460141811469,26.0,0.8276923076923077,98523.0,818,2493,477,563,1163,290
108,AUI-10290,"1398 S Orange Grove Ave, Los Angeles, CA",34.05147410000001,-118.3655228,90019,6037216900,0.026990705669688503,27.0,0.1283684468397844,69968.0,512,5100,560,1059,2764,717
109,AUI-10318,"2442 Marengo St, Los Angeles, CA",34.0539241,-118.20177,90033,6037203200,0.2936620612342583,32.0,0.4879963065558634,46699.0,64,5168,1463,1413,1816,476
110,AUI-10319,"10108 Mason Avenue, Los Angeles, CA",34.254166999999995,-118.579712,91311,6037113322,-0.7572890436699573,33.0,1.0066305003013865,93795.0,556,4284,653,663,2030,938
111,AUI-10316,"3022 S Grand Ave, Los Angeles, CA",34.0226929,-118.274234,90007,6037224600,1.120469412152214,32.0,0.2954091816367265,40600.0,151,3323,886,980,1074,383
112,AUI-10281,"3000 W Slauson Ave, Los Angeles, CA",33.988735299999995,-118.3256819,90043,6037234700,0.28324760033398105,44.0,0.4091304347826087,38776.0,244,3482,717,675,1592,498
113,AUI-10324,"11009 S Figueroa St, Los Angeles, CA",33.935441600000004,-118.28295690000002,90044,6037241202,1.3547828404168265,37.0,0.6640816326530612,40596.0,89,5436,1697,1321,1899,519
114,AUI-10323,"1033 W Pacific Coast Hwy, Los Angeles, CA",33.7906825,-118.2762558,90744-4522,6037294301,-1.23128092961453,23.0,1.157239819004525,65897.0,109,2539,578,596,969,396
115,AUI-10311,"5160 Vineland Avenue, Los Angeles, CA",34.1641232,-118.3696155,91601,6037125501,0.2259276502635271,33.0,0.2662860980523841,47227.0,366,3127,349,1290,1308,180
116,AUI-10299,"11410 Burbank Blvd, Los Angeles, CA",34.17184829999999,-118.3797377,91601,6037125200,0.6914851015201463,33.0,0.22252217508677208,64219.0,366,3623,708,817,1794,304
117,AUI-10320,"21365 Erwin St, Los Angeles, CA",34.182931,-118.59696,91367,6037134905,0.248015194038894,31.0,0.14021967749474176,79985.0,766,4354,341,1782,1787,444
118,AUI-10325,"8201 Tampa Avenue, Los Angeles, CA",34.219355,-118.553673,91306-1630,6037131600,-0.3760600701610416,33.0,1.2054429028815368,68214.0,301,5270,1094,1192,2337,647
119,AUI-10306,"6007 Variel Ave, Los Angeles, CA",34.179943200000004,-118.5933178,91365,6037134905,0.248015194038894,31.0,0.14021967749474176,79985.0,4,4354,341,1782,1787,444
120,AUI-10356,"7647 Canoga Avenue, Los Angeles, CA",34.209773,-118.5984299,91304,6037134306,-0.03920638137072405,31.0,0.4373857404021938,73516.0,433,4111,946,962,1741,462
121,AUI-10338,"3845 Selig Pl, Los Angeles, CA",34.0685547,-118.1989767,90031,6037199120,1.3006109661555765,36.0,0.4891796678409663,35776.0,151,4377,1141,1121,1456,659
122,AUI-10348,"10215 Palms Blvd, Los Angeles, CA",34.0272776,-118.4069342,90034,6037269907,-0.1804128743449017,30.0,0.1870609981515712,68068.0,712,2825,231,1438,1001,155
123,AUI-10342,"9418 National Blvd, Los Angeles, CA",34.0310983,-118.396575,90034,6037269800,-0.036257563435130966,28.0,0.15170278637770898,77778.0,712,3123,333,1305,1306,179
124,AUI-10297,"13308 Paxton St, Los Angeles, CA",34.276106,-118.422684,91331,6037104320,0.3264982268978889,28.0,0.9076112972714218,52895.0,229,5599,1274,1844,1891,590
125,AUI-10303,"1499 Gordon St, Los Angeles, CA",34.097803000000006,-118.320168,90028,6037190902,0.1393023675053559,33.0,0.2183050847457627,35787.0,221,3835,736,1245,1476,378
126,AUI-10305,"3211 Beverly Blvd, Los Angeles, CA",34.072617,-118.283315,90057,6037208610,0.8704144261233943,36.0,0.3613652357494722,46797.0,194,4441,675,1397,1874,495
127,AUI-10300,"3215 Beverly Blvd, Los Angeles, CA",34.072713,-118.283534,90057,6037208610,0.8704144261233943,36.0,0.3613652357494722,46797.0,194,4441,675,1397,1874,495
128,AUI-10301,"256 S Lafayette Park Pl, Los Angeles, CA",34.0675494,-118.2796614,90057,6037208620,0.5569878980301985,32.0,0.17814652473387602,39865.0,194,4319,797,1305,1642,575
129,AUI-10327,"948 E Vernon Ave, Los Angeles, CA",34.0037883,-118.2591613,90011,6037228600,1.3654675478181637,36.0,0.7259490379615184,42308.0,63,5125,1673,1559,1688,205
130,AUI-10332,"923 E 3rd St, Los Angeles, CA",34.0463078,-118.2341624,90013,6037206031,-0.8536082280395552,29.0,0.1698677974557246,90590.0,174,3788,227,1892,1480,189
131,AUI-10350,"9850 Exposition Blvd, Los Angeles, CA",34.0288099,-118.4027129,90034,6037270100,-0.6441939144680285,25.0,0.21925925925925926,66071.0,712,4583,493,1937,1803,350
132,AUI-10346,"1757 S Robertson Blvd, Los Angeles, CA",34.04769829999999,-118.3860416,90035-4232,6037217001,-0.26054358970544,24.0,0.23521594684385386,93083.0,495,2922,1022,575,960,365
133,AUI-10360,"2411 N Thomas Street, Los Angeles, CA",34.0740651,-118.2053002,90031,6037199202,0.0703683073159544,31.0,0.6601208459214502,56875.0,151,2993,661,838,1085,409
134,AUI-10334,"176 S Virgil Ave, Los Angeles, CA",34.0712476,-118.28635,90004,6037211121,-0.3475924584299156,29.0,0.17310087173100872,53750.0,501,2186,387,780,798,221
135,AUI-10304,"3619 Regal Pl, Los Angeles, CA",34.13395,-118.3632699,90068,6037143700,-0.2910160422145928,32.0,0.4269568857262453,106818.0,792,3916,526,713,2259,418
136,AUI-10370,"18744 Parthenia St, Los Angeles, CA",34.2278025,-118.5420773,91324,6037115404,-0.4355558626974941,26.0,0.8931799506984388,63659.0,329,2926,573,895,1084,374
137,AUI-10343,"21021 Devonshire St, Los Angeles, CA",34.2574949,-118.5916991,91311,6037113101,-0.7174313498704399,34.0,1.3874074074074074,105781.0,556,3699,613,718,1529,839
138,AUI-10368,"6945 Sepulveda Blvd, Los Angeles, CA",33.9742777,-118.394348,90045,6037277000,-0.8073810018076243,30.0,0.6801575931232091,138542.0,818,5436,1026,1066,2235,1109
139,AUI-10354,"838 S Barrington Ave, Los Angeles, CA",34.0544555,-118.466163,90049,6037264103,0.5639856442316036,26.0,0.020579268292682928,100160.0,1600,2708,284,926,1087,411
140,AUI-10375,"4294 Coldwater Canyon Ave, Los Angeles, CA",34.1479032,-118.4135263,91604,6037143500,0.20431671504928,33.0,0.28365515365787325,91563.0,947,5241,1179,990,2484,588
