,Geo_FIPS,Geo_TRACT,r_concentrated_disadvantage,r_commute_time,r_median_household_income,a_total_population,a_pop_below_18,a_pop_between_18_34,a_pop_between_34_65,a_pop_over_65,a_occupied_households,a_family_households,a_nonfamily_households,r_average_household_size,r_population_density,a_householder_less_than_high_school,a_householder_high_school_degree,a_householder_some_college,a_householder_bachelors_degree,a_older_than_3_in_school,a_older_than_3_not_in_school,a_not_high_school_grad,a_high_school_grad,a_employed,a_unemployed,a_not_in_labor_force,r_median_house_value,a_30_49_percet_income_to_rent,a_over_50_percent_income_to_rent,a_commuters_by_car_truck_van,a_commuters_by_car_truck_van_alone,a_commuters_by_car_truck_van_carpool,a_children_living_with_single_parents,a_private_sector,a_public_sector,a_self_employed,a_private_non-profit,a_unpaid_family_workers,a_households_social_security_income,a_households_SsI,a_households_retirement_income,a_housing_units,a_vacant_units,a_total_cars
2276,06037920039,920039,-0.5676678454125145,33.0,123938.0,1824,397,402,802,223,555,477,78,3.29,4533.37,15,52,328,160,468,1280,0,98,824,133,518,519600.0,13,9,686,597,89,61,552,552,552,552,552,160,4,163,561,6,1828
2277,06037920040,920040,-0.35196713798823553,38.0,94837.0,3360,796,881,1397,286,993,768,225,3.38,2939.535,16,155,371,451,696,2445,0,137,1652,195,793,533200.0,43,98,1506,1356,150,64,1088,1088,1088,1088,1088,269,43,206,1011,18,3299
2278,06037920041,920041,-0.046822573992715694,36.0,78192.0,3100,999,866,1056,179,824,674,150,3.76,4437.887,71,120,323,310,1202,1737,6,197,1507,141,544,380600.0,301,93,1278,1025,253,257,1057,1057,1057,1057,1057,114,30,74,912,88,2437
2279,06037920042,920042,-0.5259063796871744,39.0,90996.0,7527,1774,2063,2948,742,2481,1883,598,3.03,5183.9,127,593,995,766,1953,5228,0,301,4246,171,1516,414300.0,330,283,3437,3254,183,702,2779,2779,2779,2779,2779,575,54,408,2521,40,7500
2280,06037920043,920043,-1.0247899854243037,44.0,140370.0,7005,2036,1094,3176,699,1988,1734,254,3.52,971.2935,30,153,817,988,2054,4730,0,293,3492,197,1453,625500.0,69,43,3004,2679,325,207,2180,2180,2180,2180,2180,310,73,250,2040,52,6426
2281,06037920044,920044,-0.9949111813408934,43.0,102625.0,2552,626,590,1059,277,835,653,182,3.05,6796.729,0,42,389,404,723,1724,0,153,1381,50,560,460100.0,41,19,1150,1014,136,96,978,978,978,978,978,160,48,124,853,18,2548
2282,06037920045,920045,-1.2378578551029709,31.0,128269.0,4472,1054,862,2162,394,1364,1161,203,3.28,6194.063,50,122,604,588,1221,3140,0,239,2487,93,988,530700.0,43,39,2259,1985,274,99,1500,1500,1500,1500,1500,275,74,348,1372,8,4106
2283,06037920102,920102,-0.007500300208785296,35.0,80135.0,5387,1582,1085,2243,477,1814,1268,546,2.87,22.65536,196,303,701,614,1543,3513,0,337,2322,219,1490,380900.0,252,189,1981,1779,202,427,1379,1379,1379,1379,1379,403,72,141,1940,126,4973
2284,06037920104,920104,-1.0753959764329508,32.0,126474.0,2966,682,639,1287,358,864,774,90,3.43,48.53971,62,147,365,290,761,2084,0,233,1527,98,768,549500.0,15,6,1378,1243,135,26,992,992,992,992,992,233,41,180,898,34,2716
2285,06037920106,920106,-0.11154199031592094,34.0,85556.0,3573,929,887,1436,321,922,748,174,3.88,200.6815,156,167,406,193,1083,2378,18,237,1813,228,703,329200.0,35,5,1633,1326,307,152,1299,1299,1299,1299,1299,196,33,87,958,36,2947
2286,06037920107,920107,-1.0241950037384626,40.0,159095.0,5752,2077,962,2486,227,1559,1374,185,3.69,1306.914,0,80,341,1138,2176,3228,0,247,2662,116,987,673000.0,101,42,2385,2102,283,182,1795,1795,1795,1795,1795,168,10,161,1569,10,4970
2287,06037920108,920108,-0.38873418799192877,38.0,115954.0,5170,1779,916,2268,207,1707,1256,451,3.03,4804.293,68,156,615,868,1856,3104,0,213,2410,212,872,551100.0,156,125,2128,1823,305,528,1734,1734,1734,1734,1734,139,53,146,1717,10,5133
2288,06037920109,920109,-0.7085755206281686,38.0,110079.0,5835,1534,989,2536,776,2083,1542,541,2.8,6690.647,83,240,559,1201,1714,3919,0,303,2860,195,1436,569700.0,178,250,2459,2136,323,212,1747,1747,1747,1747,1747,538,0,314,2186,103,6047
2289,06037920110,920110,-1.101928357805866,38.0,153798.0,3093,760,702,1488,143,965,784,181,3.21,7601.774,0,59,300,606,981,2065,10,218,1709,84,661,660100.0,55,29,1393,1179,214,82,1075,1075,1075,1075,1075,126,26,160,1002,37,3132
