,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
124,AUI-10297,34.276106,-118.422684,91331,6037104320,0.3264982268978889,28.0,0.9076112972714218,52895.0,18,27:27,1.11,163.09
125,AUI-10303,34.097803000000006,-118.320168,90028,6037190902,0.1393023675053559,33.0,0.2183050847457627,35787.0,46,218:32,0.0,343.759
126,AUI-10305,34.072617,-118.28331499999999,90057,6037208610,0.8704144261233943,36.0,0.3613652357494722,46797.0,23,97:55,0.0,308.069
127,AUI-10300,34.072713,-118.283534,90057,6037208610,0.8704144261233943,36.0,0.3613652357494722,46797.0,58,195:31,2.14,722.2739999999999
128,AUI-10301,34.0675494,-118.27966140000001,90057,6037208620,0.5569878980301985,32.0,0.17814652473387602,39865.0,5,2:15,0.0,14.399000000000001
129,AUI-10327,34.0037883,-118.25916129999999,90011,6037228600,1.3654675478181637,36.0,0.7259490379615184,42308.0,2,0:03,0.0,0.276
130,AUI-10332,34.0463078,-118.2341624,90013,6037206031,-0.8536082280395552,29.0,0.1698677974557246,90590.0,97,502:03,0.0,1895.49
131,AUI-10350,34.0288099,-118.4027129,90034,6037270100,-0.6441939144680285,25.0,0.21925925925925926,66071.0,65,633:14,0.0,741.562
132,AUI-10346,34.04769829999999,-118.3860416,90035-4232,6037217001,-0.26054358970544,24.0,0.23521594684385386,93083.0,5,13:23,9.84,91.244
133,AUI-10360,34.0740651,-118.20530020000001,90031,6037199202,0.0703683073159544,31.0,0.6601208459214502,56875.0,12,5:00,0.0,27.413
134,AUI-10334,34.0712476,-118.28635,90004,6037211121,-0.3475924584299156,29.0,0.17310087173100872,53750.0,26,62:50,0.0,334.522
135,AUI-10304,34.13395,-118.3632699,90068,6037143700,-0.2910160422145928,32.0,0.4269568857262453,106818.0,16,44:12,3.58,121.47
136,AUI-10370,34.2278025,-118.5420773,91324,6037115404,-0.4355558626974941,26.0,0.8931799506984388,63659.0,14,2:20,0.0,15.638
137,AUI-10343,34.2574949,-118.59169909999999,91311,6037113101,-0.7174313498704399,34.0,1.3874074074074074,105781.0,27,92:19,0.0,254.512
138,AUI-10368,33.9742777,-118.394348,90045,6037277000,-0.8073810018076243,30.0,0.6801575931232091,138542.0,10,7:33,0.0,42.935
139,AUI-10354,34.054455499999996,-118.466163,90049,6037264103,0.5639856442316036,26.0,0.020579268292682928,100160.0,16,90:15,0.0,362.481
140,AUI-10375,34.1479032,-118.4135263,91604,6037143500,0.20431671504928,33.0,0.28365515365787325,91563.0,62,382:16,0.0,1020.293
141,AUI-10380,34.14920499999999,-118.40548940000001,91604,6037143500,0.20431671504928,33.0,0.28365515365787325,91563.0,57,257:47,0.0,1009.383
142,AUI-10373,34.2423921,-118.46919550000001,91343,6037117201,-0.03321839736943778,28.0,0.6907571288102261,55750.0,4,0:43,0.0,2.448
143,AUI-10349,34.273071400000006,-118.41144969999999,91331-2536,6037104701,1.9380790672531718,30.0,0.4743742550655543,32036.0,4,1:39,0.0,8.703
144,AUI-10347,33.9474756,-118.3957034,90045-5802,6037980028,,,,,7,5:30,0.0,28.776999999999997
145,AUI-10355,34.232175700000006,-118.4378409,91331-6020,6037119800,-0.6707320278928619,31.0,1.5315614617940199,74906.0,17,52:04,0.0,99.23200000000001
146,AUI-10351,34.19388989999999,-118.51242169999999,91406,6037132001,-0.18571689677585565,28.0,0.8948701709943002,75000.0,46,168:10,0.0,331.88699999999994
