,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,ev_car_count
99,AUI-10310,"7537 Balboa Blvd, Los Angeles, CA",34.207544,-118.50128799999999,91406-5441,6037131900,-0.5285718640762177,32.121212121212125,0.9734462449520963,94851.78787878787,4571.924242424242,960.1212121212121,1021.6060606060606,1860.6666666666667,729.530303030303,563.7272727272727
100,AUI-10313,"18099 Rinaldi street, Los Angeles, CA",34.278644799999995,-118.52741940000001,91344-1701,6037108103,-0.5799081462590672,32.127272727272725,1.0041089442480224,77687.0,4266.272727272727,985.4909090909091,1014.0545454545454,1710.2727272727273,556.4545454545455,426.6212121212121
101,AUI-10312,"21900 Plummer St, Los Angeles, CA",34.242412200000004,-118.60422109999999,91311,6037113237,-0.5079289021211634,31.52,0.8363288474813589,92234.96,3960.18,734.88,1100.8,1579.56,544.94,616.5555555555555
102,AUI-10307,"10567 Mason Ave, Los Angeles, CA",34.261771,-118.5798527,91311,6037113101,-0.606015422007177,32.56603773584906,0.9520186858935387,93515.43396226416,3778.4363636363637,805.290909090909,856.9272727272727,1589.6363636363637,526.5818181818182,574.2142857142857
103,AUI-10387,"5350 San Vicente Blvd, Los Angeles, CA",34.0525027,-118.3512399,90019,6037217100,0.13484616767066762,30.88,0.3345467144961474,70573.4,4020.12,687.96,1250.1,1538.56,543.5,524.4848484848485
104,AUI-10294,"1143 S Beverly Dr, Los Angeles, CA",34.0565394,-118.39647820000002,90035,6037269100,-0.4063606901191952,29.516666666666666,0.5573511629015072,113304.63333333333,3931.8,690.8833333333333,923.4166666666666,1626.1333333333334,691.3666666666667,756.1818181818181
105,AUI-10292,"664 S Central Ave, Los Angeles, CA",34.0372306,-118.24055729999999,90021,6037206300,0.22655904398795687,33.41463414634146,0.5081990282816944,52145.53658536585,4049.2926829268295,838.5365853658536,1202.8536585365853,1541.1951219512196,466.7073170731707,239.77272727272728
106,AUI-10295,"5931 W 18th St, Los Angeles, CA",34.0438008,-118.37153290000002,90035,6037216700,-0.10536866832032503,30.32075471698113,0.38144528272469597,72358.15094339622,3666.245283018868,626.433962264151,1060.6603773584907,1458.1132075471698,521.0377358490566,568.6212121212121
107,AUI-10296,"6299 W 87th St, Los Angeles, CA",33.9585605,-118.3947537,90045,6037278001,-0.10336284724256613,30.476190476190474,0.38025266723547685,77127.61904761905,2557.909090909091,393.3939393939394,610.2424242424242,1144.0,410.27272727272725,632.3921568627451
108,AUI-10290,"1398 S Orange Grove Ave, Los Angeles, CA",34.05147410000001,-118.3655228,90019,6037216900,-0.15806759562523534,31.104166666666668,0.3690662311152977,76258.79166666667,3606.8541666666665,630.8541666666666,1055.4583333333333,1424.75,495.7916666666667,561.1818181818181
109,AUI-10318,"2442 Marengo St, Los Angeles, CA",34.0539241,-118.20177,90033,6037203200,0.23155942847101257,32.25,0.4585669458043289,56887.875,4194.78125,967.875,1203.1875,1617.46875,406.25,326.469696969697
110,AUI-10319,"10108 Mason Avenue, Los Angeles, CA",34.254166999999995,-118.57971200000001,91311,6037113322,-0.6446395058875558,32.44642857142857,0.9966721681312959,93216.55357142857,3951.5263157894738,802.9824561403509,899.1578947368421,1670.7894736842106,578.5964912280701,554.7017543859649
111,AUI-10316,"3022 S Grand Ave, Los Angeles, CA",34.0226929,-118.274234,90007,6037224600,0.24345508511697306,31.94,0.4781509793120998,48597.24,3697.6153846153848,841.9230769230769,984.5,1431.423076923077,439.7692307692308,275.6212121212121
112,AUI-10281,"3000 W Slauson Ave, Los Angeles, CA",33.988735299999995,-118.3256819,90043,6037234700,0.3308419783029385,32.486486486486484,0.4702082174479519,52659.51351351351,4203.205128205128,1070.2564102564102,1165.4615384615386,1560.7948717948718,406.6923076923077,311.969696969697
113,AUI-10324,"11009 S Figueroa St, Los Angeles, CA",33.935441600000004,-118.28295690000002,90044,6037241202,0.6331328146562729,34.333333333333336,0.5484587211336801,36468.066666666666,4423.066666666667,1299.0666666666666,1168.8666666666666,1573.9333333333334,381.2,170.1818181818182
114,AUI-10323,"1033 W Pacific Coast Hwy, Los Angeles, CA",33.7906825,-118.2762558,90744-4522,6037294301,0.06496541247000583,29.333333333333332,0.28253789771728194,61179.26666666667,3430.866666666667,699.9333333333333,876.0,1477.3333333333333,377.6,487.672131147541
115,AUI-10311,"5160 Vineland Avenue, Los Angeles, CA",34.1641232,-118.36961550000001,91601,6037125501,0.8005903591815446,26.44,0.7210404919759507,101694.54761904762,3134.3137254901962,552.2941176470588,749.8627450980392,1351.921568627451,480.2352941176471,619.6060606060606
116,AUI-10299,"11410 Burbank Blvd, Los Angeles, CA",34.17184829999999,-118.3797377,91601,6037125200,0.3630724912011668,27.75,0.7558451684158402,104435.56521739131,3408.0377358490564,666.5849056603773,773.433962264151,1459.377358490566,508.64150943396226,573.9848484848485
117,AUI-10320,"21365 Erwin St, Los Angeles, CA",34.182930999999996,-118.59696000000001,91367,6037134905,-0.6521283002681306,33.904761904761905,0.8612236403931358,94861.42857142857,3879.6739130434785,810.6521739130435,779.6739130434783,1611.304347826087,678.0434782608696,557.1475409836065
118,AUI-10325,"8201 Tampa Avenue, Los Angeles, CA",34.219355,-118.553673,91306-1630,6037131600,-0.6905220173117633,33.306451612903224,0.8849477385680494,93580.93548387097,4088.560606060606,819.3030303030303,882.1969696969697,1715.8939393939395,671.1666666666666,652.1363636363636
119,AUI-10306,"6007 Variel Ave, Los Angeles, CA",34.179943200000004,-118.59331780000001,91365,6037134905,-0.6301833123835914,33.651162790697676,0.8330935872233146,99770.46511627907,4076.326530612245,865.734693877551,853.0408163265306,1682.795918367347,674.7551020408164,573.030303030303
